Date,Open,High,Low,Close
2020-07-14,1.13443,1.14118,1.13248,1.14096
2020-07-15,1.14098,1.14516,1.13908,1.14165
2020-07-16,1.14164,1.14412,1.137,1.13874
2020-07-17,1.13874,1.14432,1.13771,1.14272
2020-07-19,1.14053,1.14452,1.14042,1.14417
2020-07-20,1.14417,1.14672,1.14021,1.14553
2020-07-21,1.14555,1.15418,1.14225,1.15346
2020-07-22,1.15346,1.16008,1.15064,1.15643
2020-07-23,1.15643,1.16263,1.15399,1.15948
2020-07-24,1.15951,1.16574,1.1581,1.16549
2020-07-26,1.1642,1.1655,1.16394,1.16493
2020-07-27,1.16493,1.1781,1.16491,1.17678
2020-07-28,1.17676,1.17732,1.16984,1.17181
2020-07-29,1.17181,1.18054,1.17137,1.17806
2020-07-30,1.17801,1.18759,1.17306,1.18713
2020-07-31,1.18711,1.19083,1.17615,1.17757
2020-08-02,1.17703,1.17962,1.17675,1.17807
2020-08-03,1.1781,1.17884,1.16957,1.17598
2020-08-04,1.17598,1.18144,1.17209,1.18131
2020-08-05,1.18133,1.19044,1.17991,1.18717
2020-08-06,1.18717,1.19156,1.18176,1.18749
2020-08-07,1.18749,1.18816,1.1755,1.17862
2020-08-09,1.17863,1.17893,1.17729,1.17806
2020-08-10,1.17806,1.18002,1.17353,1.17355
2020-08-11,1.17356,1.18069,1.17216,1.17345
2020-08-12,1.17345,1.18157,1.17106,1.17936
2020-08-13,1.17936,1.18637,1.17931,1.18151
2020-08-14,1.18151,1.18499,1.17816,1.18411
2020-08-16,1.18389,1.18525,1.18264,1.18516
2020-08-17,1.18516,1.18805,1.18283,1.18742
2020-08-18,1.18742,1.19651,1.18738,1.19459
2020-08-19,1.19459,1.19523,1.183,1.18432
2020-08-20,1.18437,1.18706,1.18019,1.18692
2020-08-21,1.1869,1.18824,1.17538,1.17956
2020-08-23,1.17885,1.18062,1.17831,1.17977
2020-08-24,1.17977,1.18491,1.17837,1.17931
2020-08-25,1.1793,1.18429,1.17837,1.18337
2020-08-26,1.18337,1.184,1.17718,1.18396
2020-08-27,1.18398,1.1901,1.1762,1.18202
2020-08-28,1.18201,1.19193,1.18105,1.1902
2020-08-30,1.18933,1.19197,1.18899,1.19167
2020-08-31,1.19167,1.19656,1.18841,1.19363
2020-09-01,1.19364,1.20103,1.1901,1.19222
2020-09-02,1.19222,1.19235,1.1822,1.18453
2020-09-03,1.18456,1.18641,1.17885,1.18409
2020-09-04,1.18409,1.1865,1.17807,1.18376
2020-09-06,1.18443,1.18459,1.18313,1.18338
2020-09-07,1.18338,1.18482,1.1811,1.18183
2020-09-08,1.18183,1.18269,1.17568,1.17663
2020-09-09,1.17663,1.18331,1.17525,1.18032
2020-09-10,1.18032,1.19169,1.18002,1.18231
2020-09-11,1.18231,1.18736,1.18231,1.18458
2020-09-13,1.1834,1.18471,1.18332,1.18401
2020-09-14,1.184,1.18874,1.18316,1.18667
2020-09-15,1.18667,1.18998,1.18393,1.18416
2020-09-16,1.18416,1.18819,1.17871,1.18041
2020-09-17,1.18041,1.18557,1.17372,1.18467
2020-09-18,1.18467,1.18699,1.18256,1.18388
2020-09-20,1.18393,1.18495,1.18366,1.1845
2020-09-21,1.1845,1.18713,1.17313,1.17624
2020-09-22,1.17623,1.1771,1.16913,1.17057
2020-09-23,1.17057,1.17186,1.1651,1.16564
2020-09-24,1.16563,1.16865,1.16261,1.16732
2020-09-25,1.16732,1.16846,1.16117,1.16281
2020-09-27,1.16187,1.16373,1.16156,1.16337
2020-09-28,1.16338,1.16795,1.16147,1.16764
2020-09-29,1.16765,1.17453,1.16647,1.17413
2020-09-30,1.17413,1.17544,1.16845,1.17229
2020-10-01,1.17229,1.17691,1.17168,1.17436
2020-10-02,1.17436,1.17441,1.16951,1.17157
2020-10-04,1.17105,1.17197,1.17062,1.17191
2020-10-05,1.17194,1.17971,1.17172,1.17887
2020-10-06,1.17887,1.18073,1.173,1.17367
2020-10-07,1.17367,1.17813,1.17246,1.17653
2020-10-08,1.17653,1.17812,1.17324,1.17663
2020-10-09,1.17663,1.18305,1.17573,1.18257
2020-10-11,1.18095,1.18227,1.18041,1.18154
2020-10-12,1.18154,1.18262,1.17863,1.18123
2020-10-13,1.18123,1.18134,1.17306,1.17416
2020-10-14,1.17416,1.17703,1.17197,1.17442
2020-10-15,1.17442,1.17573,1.16881,1.1706
2020-10-16,1.1706,1.17456,1.16936,1.1715
2020-10-18,1.17161,1.17201,1.17109,1.1715
2020-10-19,1.1715,1.17931,1.17027,1.17678
2020-10-20,1.1768,1.18403,1.17595,1.18285
2020-10-21,1.18285,1.18803,1.18277,1.18513
2020-10-22,1.18512,1.18664,1.18111,1.18141
2020-10-23,1.18139,1.18643,1.17864,1.18576
2020-10-25,1.18525,1.18592,1.1839,1.18476
2020-10-26,1.18476,1.185,1.18027,1.18086
2020-10-27,1.18086,1.18383,1.17692,1.1781
2020-10-28,1.17811,1.17875,1.17174,1.17478
2020-10-29,1.17478,1.17583,1.16498,1.16777
2020-10-30,1.16777,1.17037,1.16396,1.16446
2020-11-01,1.16469,1.16509,1.16384,1.16411
2020-11-02,1.16411,1.16552,1.1622,1.164
2020-11-03,1.164,1.17635,1.16367,1.17613
2020-11-04,1.17613,1.177,1.16024,1.17319
2020-11-05,1.17319,1.18592,1.17103,1.18162
2020-11-06,1.18165,1.18904,1.1795,1.18734
2020-11-08,1.18888,1.18945,1.18833,1.18921
2020-11-09,1.18922,1.19193,1.17949,1.18237
2020-11-10,1.18237,1.18428,1.17795,1.18181
2020-11-11,1.1818,1.18322,1.17452,1.17789
2020-11-12,1.17789,1.18226,1.17582,1.18037
2020-11-13,1.18037,1.18367,1.17985,1.18338
2020-11-15,1.18395,1.18482,1.18277,1.18443
2020-11-16,1.18443,1.18684,1.18137,1.18589
2020-11-17,1.18589,1.18932,1.18425,1.18631
2020-11-18,1.18631,1.18903,1.18445,1.18449
2020-11-19,1.18449,1.18818,1.18158,1.18649
2020-11-20,1.18649,1.18903,1.18495,1.1854
2020-11-22,1.18521,1.18655,1.18455,1.18651
2020-11-23,1.1865,1.19054,1.17997,1.18419
2020-11-24,1.18419,1.18973,1.1838,1.1897
2020-11-25,1.18971,1.19293,1.18814,1.19157
2020-11-26,1.19161,1.19404,1.18848,1.19105
2020-11-27,1.19106,1.1963,1.1907,1.19619
2020-11-29,1.19604,1.19733,1.19587,1.19715
2020-11-30,1.19717,1.20027,1.19226,1.19369
2020-12-01,1.19369,1.2076,1.19348,1.20703
2020-12-02,1.20703,1.2118,1.20396,1.21136
2020-12-03,1.21137,1.2174,1.21005,1.21448
2020-12-04,1.21446,1.21769,1.21097,1.21204
2020-12-06,1.21295,1.21322,1.21186,1.21199
2020-12-07,1.21196,1.21658,1.2078,1.21091
2020-12-08,1.21091,1.21336,1.20951,1.21091
2020-12-09,1.21091,1.21467,1.20536,1.20781
2020-12-10,1.20781,1.21584,1.20781,1.21431
2020-12-11,1.2143,1.21625,1.21051,1.21074
2020-12-13,1.21342,1.21428,1.21313,1.21327
2020-12-14,1.21327,1.21762,1.21151,1.21483
2020-12-15,1.21481,1.21682,1.21213,1.21539
2020-12-16,1.21538,1.22118,1.21249,1.21958
2020-12-17,1.21953,1.22723,1.21894,1.22611
2020-12-18,1.22611,1.22683,1.22251,1.22503
2020-12-20,1.22194,1.22348,1.2211,1.22115
2020-12-21,1.22114,1.22523,1.21294,1.22345
2020-12-22,1.22344,1.22564,1.21517,1.21869
2020-12-23,1.21869,1.22206,1.21535,1.21936
2020-12-24,1.21936,1.22152,1.21769,1.21835
2020-12-27,1.21695,1.22066,1.21695,1.22035
2020-12-28,1.22037,1.22498,1.21807,1.22192
2020-12-29,1.22191,1.22746,1.22189,1.22516
2020-12-30,1.22519,1.23095,1.2251,1.22981
2020-12-31,1.22981,1.23087,1.22087,1.22158
2021-01-03,1.22382,1.22523,1.22269,1.22495
2021-01-04,1.22495,1.23091,1.22382,1.22522
2021-01-05,1.22521,1.23051,1.22468,1.22982
2021-01-06,1.22982,1.23488,1.22652,1.23377
2021-01-07,1.23378,1.23438,1.22445,1.22686
2021-01-08,1.22685,1.2284,1.21926,1.22142
2021-01-10,1.22151,1.22225,1.21819,1.21867
2021-01-11,1.21867,1.21993,1.21318,1.21603
2021-01-12,1.21602,1.22092,1.21367,1.22083
2021-01-13,1.22082,1.22223,1.21395,1.21614
2021-01-14,1.21613,1.2178,1.21107,1.21503
2021-01-15,1.21501,1.21621,1.20721,1.20721
2021-01-17,1.20814,1.20859,1.20657,1.2066
2021-01-18,1.2066,1.20863,1.2053,1.20772
2021-01-19,1.20772,1.21444,1.20768,1.2139
2021-01-20,1.21389,1.21577,1.20762,1.21142
2021-01-21,1.21142,1.21724,1.21088,1.21651
2021-01-22,1.21651,1.2189,1.21511,1.21641
2021-01-24,1.21663,1.21704,1.21596,1.21665
2021-01-25,1.21665,1.21827,1.21157,1.21424
2021-01-26,1.21425,1.21754,1.21075,1.21629
2021-01-27,1.21629,1.21693,1.20583,1.21022
2021-01-28,1.21023,1.21417,1.20803,1.21205
2021-01-29,1.21205,1.21555,1.2094,1.21328
2021-01-31,1.21275,1.21326,1.21201,1.21223
2021-02-01,1.21223,1.21361,1.20556,1.20673
2021-02-02,1.20673,1.20875,1.20111,1.20362
2021-02-03,1.20362,1.20497,1.20037,1.20409
2021-02-04,1.20409,1.20423,1.19572,1.1966
2021-02-05,1.19657,1.20493,1.19519,1.20387
2021-02-07,1.20371,1.2055,1.20351,1.2048
2021-02-08,1.2048,1.20653,1.20193,1.20518
2021-02-09,1.20518,1.21213,1.20488,1.21158
2021-02-10,1.21158,1.21435,1.21082,1.21185
2021-02-11,1.21186,1.21489,1.21131,1.21303
2021-02-12,1.21304,1.21328,1.20811,1.21187
2021-02-14,1.21193,1.21249,1.21155,1.21199
2021-02-15,1.21199,1.21446,1.21164,1.21315
2021-02-16,1.21315,1.2169,1.20856,1.20876
2021-02-17,1.20876,1.20976,1.20228,1.2045
2021-02-18,1.20449,1.20953,1.20353,1.20914
2021-02-19,1.20914,1.2144,1.20819,1.2117
2021-02-21,1.21173,1.21287,1.21146,1.21243
2021-02-22,1.21243,1.21689,1.20908,1.21635
2021-02-23,1.21635,1.21795,1.21348,1.21503
2021-02-24,1.21503,1.21741,1.21086,1.2169
2021-02-25,1.21692,1.22425,1.21556,1.21573
2021-02-26,1.21573,1.21822,1.20618,1.20719
2021-02-28,1.20688,1.20915,1.20681,1.20901
2021-03-01,1.20903,1.21007,1.20272,1.20481
2021-03-02,1.20481,1.20939,1.19912,1.20845
2021-03-03,1.20843,1.21127,1.20423,1.20461
2021-03-04,1.20457,1.20627,1.19602,1.19667
2021-03-05,1.19667,1.19681,1.18926,1.19096
2021-03-07,1.19168,1.19316,1.19155,1.19258
2021-03-08,1.19258,1.19317,1.18436,1.18504
2021-03-09,1.18503,1.19152,1.18351,1.18965
2021-03-10,1.18965,1.19293,1.18684,1.19239
2021-03-11,1.19237,1.19894,1.19154,1.19805
2021-03-12,1.19805,1.19879,1.19095,1.1951
2021-03-14,1.19428,1.1954,1.19428,1.19496
2021-03-15,1.19496,1.1967,1.19107,1.19258
2021-03-16,1.1926,1.19514,1.18821,1.19016
2021-03-17,1.19014,1.19869,1.18858,1.19821
2021-03-18,1.19823,1.19884,1.19059,1.19172
2021-03-19,1.19173,1.19367,1.18735,1.19045
2021-03-21,1.18761,1.18896,1.1871,1.18833
2021-03-22,1.18834,1.19463,1.18741,1.19318
2021-03-23,1.1932,1.19403,1.18357,1.18392
2021-03-24,1.18396,1.18504,1.18086,1.18124
2021-03-25,1.18126,1.18272,1.17614,1.17752
2021-03-26,1.17754,1.18044,1.17712,1.17937
2021-03-28,1.17912,1.17932,1.17854,1.17871
2021-03-29,1.17871,1.17934,1.17604,1.17682
2021-03-30,1.17679,1.17733,1.17108,1.17226
2021-03-31,1.17226,1.17593,1.17037,1.17266
2021-04-01,1.17267,1.17821,1.17121,1.17769
2021-04-02,1.17769,1.17861,1.17487,1.17548
2021-04-04,1.17523,1.17674,1.17523,1.17672
2021-04-05,1.17667,1.18191,1.17375,1.18166
2021-04-06,1.18163,1.18772,1.1795,1.18734
2021-04-07,1.18734,1.19143,1.18605,1.18721
2021-04-08,1.18721,1.19269,1.18603,1.19149
2021-04-09,1.19148,1.19196,1.18668,1.18977
2021-04-11,1.18986,1.19033,1.18875,1.18956
2021-04-12,1.18956,1.19186,1.18707,1.19113
2021-04-13,1.19113,1.19555,1.18777,1.19533
2021-04-14,1.19537,1.19869,1.19505,1.19827
2021-04-15,1.19827,1.19928,1.19557,1.19689
2021-04-16,1.19688,1.19941,1.19501,1.19814
2021-04-18,1.1973,1.19769,1.19676,1.19684
2021-04-19,1.19684,1.20474,1.19421,1.20421
2021-04-20,1.20421,1.20794,1.2022,1.2032
2021-04-21,1.2032,1.20433,1.19981,1.20368
2021-04-22,1.20368,1.20689,1.19931,1.20139
2021-04-23,1.2014,1.20995,1.20124,1.20969
2021-04-25,1.20905,1.20979,1.20883,1.2089
2021-04-26,1.20893,1.21165,1.20606,1.2079
2021-04-27,1.20789,1.20925,1.20562,1.20889
2021-04-28,1.20887,1.21349,1.20557,1.21344
2021-04-29,1.21344,1.21493,1.21017,1.21241
2021-04-30,1.21241,1.21261,1.20161,1.20192
2021-05-02,1.20205,1.20298,1.20205,1.20268
2021-05-03,1.20269,1.20756,1.20125,1.20584
2021-05-04,1.20585,1.20596,1.19986,1.20141
2021-05-05,1.20141,1.20262,1.19856,1.2007
2021-05-06,1.2007,1.20711,1.19928,1.20647
2021-05-07,1.20647,1.21711,1.20524,1.21628
2021-05-09,1.21595,1.21764,1.21595,1.21702
2021-05-10,1.21701,1.21777,1.21271,1.21399
2021-05-11,1.21399,1.21811,1.21226,1.21437
2021-05-12,1.21437,1.21517,1.20652,1.20772
2021-05-13,1.20772,1.21056,1.20509,1.20763
2021-05-14,1.20763,1.21472,1.20707,1.21452
2021-05-16,1.21367,1.21506,1.21325,1.21495
2021-05-17,1.21493,1.21683,1.21257,1.2156
2021-05-18,1.21559,1.22334,1.21531,1.22219
2021-05-19,1.22221,1.22447,1.21595,1.21701
2021-05-20,1.21701,1.22297,1.21685,1.22245
2021-05-21,1.22245,1.22393,1.21604,1.21809
2021-05-23,1.21775,1.2184,1.21714,1.21802
2021-05-24,1.21802,1.22294,1.21747,1.22137
2021-05-25,1.22137,1.22659,1.2211,1.22464
2021-05-26,1.22465,1.22623,1.21813,1.21916
2021-05-27,1.21916,1.22145,1.21747,1.21923
2021-05-28,1.21923,1.22043,1.21322,1.21911
2021-05-30,1.21905,1.21988,1.21887,1.2189
2021-05-31,1.21893,1.22339,1.21829,1.22321
2021-06-01,1.22321,1.22539,1.22113,1.2217
2021-06-02,1.2217,1.22261,1.21637,1.2209
2021-06-03,1.2209,1.22137,1.21178,1.21296
2021-06-04,1.21296,1.21852,1.21035,1.21662
2021-06-06,1.21618,1.21673,1.21592,1.21662
2021-06-07,1.21661,1.22013,1.21445,1.21903
2021-06-08,1.21901,1.21937,1.21638,1.2172
2021-06-09,1.21721,1.22175,1.21709,1.2178
2021-06-10,1.21778,1.21942,1.21429,1.21722
2021-06-11,1.21721,1.21925,1.20922,1.21083
2021-06-13,1.21025,1.21116,1.21012,1.21092
2021-06-14,1.21092,1.21299,1.20937,1.21214
2021-06-15,1.21214,1.21467,1.21008,1.21242
2021-06-16,1.21242,1.21342,1.19863,1.19946
2021-06-17,1.19946,1.20059,1.18915,1.19127
2021-06-18,1.19125,1.19244,1.18469,1.18627
2021-06-20,1.1856,1.18751,1.18558,1.18701
2021-06-21,1.18698,1.19207,1.18472,1.19116
2021-06-22,1.19117,1.19521,1.18805,1.19359
2021-06-23,1.19358,1.19696,1.19112,1.19292
2021-06-24,1.19295,1.19558,1.19173,1.19275
2021-06-25,1.19275,1.19748,1.19259,1.19351
2021-06-27,1.19318,1.19416,1.19307,1.19411
2021-06-28,1.19411,1.19441,1.19019,1.19283
