Date,Open,High,Low,Close,ZigZag
30.08.2001,0.908,0.9187,0.906,0.9166,0
31.08.2001,0.9161,0.92,0.9066,0.9125,0
02.09.2001,0.9094,0.9101,0.9083,0.9085,0
03.09.2001,0.9083,0.9105,0.9055,0.906,0
04.09.2001,0.9058,0.9071,0.8847,0.8876,0
05.09.2001,0.8876,0.8914,0.8843,0.8866,0
06.09.2001,0.8868,0.8969,0.8824,0.8946,0.88
07.09.2001,0.8947,0.9077,0.8928,0.9076,0
09.09.2001,0.906,0.9072,0.9058,0.9069,0
10.09.2001,0.9069,0.9082,0.8971,0.898,0
11.09.2001,0.8983,0.9171,0.8954,0.9091,0
12.09.2001,0.9088,0.9151,0.9007,0.9068,0
13.09.2001,0.9068,0.9127,0.9046,0.912,0
14.09.2001,0.9118,0.9251,0.908,0.9205,0
16.09.2001,0.9236,0.9246,0.923,0.9242,0
17.09.2001,0.9243,0.9335,0.9172,0.9236,0.93
18.09.2001,0.9237,0.9284,0.9186,0.9269,0
19.09.2001,0.9268,0.9326,0.9228,0.9272,0
20.09.2001,0.9273,0.9296,0.9228,0.9265,0
21.09.2001,0.9262,0.9269,0.9084,0.9144,0
23.09.2001,0.9134,0.9146,0.9131,0.9138,0
24.09.2001,0.9137,0.9204,0.9103,0.916,0
25.09.2001,0.9158,0.925,0.9145,0.9233,0
26.09.2001,0.9232,0.9247,0.9195,0.9221,0
27.09.2001,0.9226,0.9232,0.9159,0.9172,0
28.09.2001,0.9171,0.9177,0.9078,0.9114,0
30.09.2001,0.9103,0.9112,0.9098,0.9105,0
01.10.2001,0.9106,0.9179,0.9059,0.9166,0
02.10.2001,0.9164,0.9197,0.9132,0.9177,0
03.10.2001,0.9176,0.9235,0.9125,0.9142,0
04.10.2001,0.9146,0.9187,0.911,0.918,0
05.10.2001,0.9182,0.921,0.9156,0.9187,0
07.10.2001,0.9191,0.9196,0.9183,0.9196,0
08.10.2001,0.9192,0.9246,0.9165,0.9203,0
09.10.2001,0.9206,0.9228,0.9123,0.9132,0
10.10.2001,0.9132,0.916,0.9099,0.9108,0
11.10.2001,0.9109,0.9127,0.8989,0.9022,0
12.10.2001,0.9023,0.9126,0.901,0.9113,0
14.10.2001,0.9117,0.9127,0.9116,0.9126,0
15.10.2001,0.9124,0.9141,0.9059,0.9077,0
16.10.2001,0.9075,0.9114,0.9038,0.9078,0
17.10.2001,0.9077,0.9093,0.9009,0.9017,0
18.10.2001,0.9016,0.9057,0.8996,0.9029,0
19.10.2001,0.903,0.9036,0.8965,0.899,0
21.10.2001,0.8985,0.8991,0.8977,0.898,0
22.10.2001,0.8978,0.9004,0.8896,0.8919,0
23.10.2001,0.8917,0.893,0.8867,0.8908,0.89
24.10.2001,0.8909,0.8946,0.8898,0.8936,0
25.10.2001,0.8933,0.8981,0.8878,0.892,0
26.10.2001,0.8922,0.8953,0.8903,0.8923,0
28.10.2001,0.8922,0.8937,0.8921,0.8931,0
29.10.2001,0.8932,0.9061,0.8924,0.9045,0
30.10.2001,0.9045,0.9104,0.9033,0.9069,0
31.10.2001,0.907,0.908,0.8985,0.9001,0
01.11.2001,0.9001,0.9121,0.8993,0.9035,0.91
02.11.2001,0.9034,0.9075,0.9006,0.904,0
04.11.2001,0.9015,0.9021,0.8993,0.8997,0
05.11.2001,0.9,0.9003,0.8942,0.8972,0
06.11.2001,0.8968,0.8997,0.8937,0.8958,0
07.11.2001,0.896,0.9049,0.8937,0.8971,0
08.11.2001,0.8972,0.8997,0.8906,0.893,0
09.11.2001,0.8929,0.8953,0.8888,0.8934,0
11.11.2001,0.8944,0.8948,0.8933,0.8936,0
12.11.2001,0.8939,0.9016,0.8911,0.8924,0
13.11.2001,0.8926,0.8929,0.879,0.8811,0
14.11.2001,0.8808,0.8846,0.877,0.8827,0
15.11.2001,0.8826,0.8855,0.88,0.8815,0
16.11.2001,0.8813,0.8867,0.8808,0.8843,0
18.11.2001,0.8843,0.8855,0.8841,0.8847,0
19.11.2001,0.8847,0.8851,0.8764,0.8796,0
20.11.2001,0.8796,0.8845,0.8789,0.8821,0
21.11.2001,0.8823,0.8829,0.8753,0.8767,0
22.11.2001,0.8766,0.8796,0.8761,0.8786,0
23.11.2001,0.8784,0.8814,0.8735,0.8782,0.87
25.11.2001,0.8778,0.8796,0.8775,0.8787,0
26.11.2001,0.8789,0.8835,0.8778,0.8818,0
27.11.2001,0.8811,0.8839,0.8769,0.882,0
28.11.2001,0.8821,0.8886,0.8816,0.8871,0
29.11.2001,0.8871,0.8921,0.8855,0.8866,0
30.11.2001,0.8868,0.8983,0.8847,0.8956,0
02.12.2001,0.8956,0.897,0.895,0.8962,0
03.12.2001,0.8962,0.897,0.8889,0.8898,0
04.12.2001,0.8898,0.8923,0.8885,0.8901,0
05.12.2001,0.8903,0.8943,0.8846,0.888,0
06.12.2001,0.8883,0.8954,0.8864,0.8935,0
07.12.2001,0.8937,0.8947,0.8884,0.8918,0
09.12.2001,0.8894,0.89,0.8885,0.8888,0
10.12.2001,0.889,0.892,0.884,0.8908,0
11.12.2001,0.8908,0.8936,0.8881,0.8929,0
12.12.2001,0.8931,0.899,0.8924,0.8983,0
13.12.2001,0.8984,0.8993,0.8919,0.8934,0
14.12.2001,0.8937,0.9055,0.8924,0.9026,0
16.12.2001,0.9035,0.9048,0.903,0.9043,0
17.12.2001,0.9044,0.9083,0.9013,0.9028,0.91
18.12.2001,0.9029,0.9045,0.8993,0.9004,0
19.12.2001,0.9009,0.9031,0.8951,0.8996,0
20.12.2001,0.8997,0.9019,0.896,0.9001,0
21.12.2001,0.9003,0.9016,0.8854,0.8889,0
23.12.2001,0.8888,0.8896,0.8871,0.8883,0
24.12.2001,0.8882,0.891,0.8741,0.8795,0.87
25.12.2001,0.8796,0.8826,0.8765,0.8773,0
26.12.2001,0.8774,0.8823,0.8766,0.8802,0
27.12.2001,0.8802,0.8873,0.8774,0.8828,0
28.12.2001,0.8829,0.8861,0.8788,0.8853,0
30.12.2001,0.8841,0.8847,0.8826,0.8828,0
31.12.2001,0.8831,0.8924,0.8824,0.8906,0
01.01.2002,0.8902,0.8913,0.8863,0.8885,0
02.01.2002,0.8887,0.9069,0.8885,0.9043,0.91
03.01.2002,0.9043,0.9061,0.8969,0.8987,0
04.01.2002,0.8989,0.9003,0.8938,0.8948,0
06.01.2002,0.895,0.8968,0.8946,0.8959,0
07.01.2002,0.8958,0.8998,0.8881,0.8911,0
08.01.2002,0.891,0.8954,0.8882,0.8933,0
09.01.2002,0.8933,0.8939,0.8864,0.8914,0
10.01.2002,0.8913,0.8941,0.89,0.8926,0
11.01.2002,0.8924,0.8934,0.8895,0.8922,0
13.01.2002,0.8945,0.8949,0.8937,0.8947,0
14.01.2002,0.8946,0.8956,0.8914,0.8934,0
15.01.2002,0.8934,0.8947,0.882,0.8837,0
16.01.2002,0.8837,0.8854,0.8802,0.8841,0
17.01.2002,0.8841,0.8845,0.8793,0.8812,0
18.01.2002,0.8811,0.8853,0.8795,0.8845,0
20.01.2002,0.884,0.8869,0.884,0.8859,0
21.01.2002,0.8861,0.8868,0.8824,0.8826,0
22.01.2002,0.8824,0.8892,0.8811,0.8888,0
23.01.2002,0.8887,0.8892,0.8765,0.8777,0
24.01.2002,0.8778,0.8796,0.8752,0.8782,0
25.01.2002,0.878,0.8785,0.8631,0.8644,0
27.01.2002,0.8645,0.8651,0.8638,0.8648,0
28.01.2002,0.8644,0.8666,0.857,0.861,0
29.01.2002,0.8612,0.8661,0.8592,0.865,0
30.01.2002,0.865,0.8677,0.8599,0.8614,0
31.01.2002,0.8612,0.8647,0.8576,0.8594,0
01.02.2002,0.8593,0.8644,0.8562,0.8622,0.86
03.02.2002,0.8615,0.8627,0.861,0.8617,0
04.02.2002,0.8617,0.8713,0.8605,0.8691,0
05.02.2002,0.8689,0.8734,0.8651,0.8676,0
06.02.2002,0.8675,0.8708,0.8633,0.8665,0
07.02.2002,0.8665,0.8719,0.8645,0.8705,0
08.02.2002,0.8706,0.8756,0.8703,0.8722,0
10.02.2002,0.8708,0.8724,0.8705,0.872,0
11.02.2002,0.8719,0.8803,0.8709,0.8769,0.88
12.02.2002,0.877,0.8802,0.874,0.8764,0
13.02.2002,0.8763,0.8772,0.8703,0.872,0
14.02.2002,0.872,0.8749,0.868,0.8732,0
15.02.2002,0.8731,0.8743,0.8694,0.873,0
17.02.2002,0.8732,0.8744,0.8728,0.8733,0
18.02.2002,0.8735,0.8744,0.8698,0.8706,0
19.02.2002,0.8706,0.8784,0.8663,0.877,0
20.02.2002,0.877,0.8785,0.8687,0.87,0
21.02.2002,0.8699,0.8722,0.8679,0.8701,0
22.02.2002,0.87,0.8779,0.868,0.8752,0
24.02.2002,0.8753,0.8759,0.8746,0.8753,0
25.02.2002,0.8749,0.8757,0.8687,0.8694,0
26.02.2002,0.8694,0.8724,0.8615,0.864,0.86
27.02.2002,0.864,0.8669,0.8625,0.8658,0
28.02.2002,0.8658,0.8699,0.8623,0.8681,0
01.03.2002,0.868,0.8694,0.8629,0.8658,0
03.03.2002,0.8647,0.8663,0.8647,0.8651,0
04.03.2002,0.8651,0.8717,0.8631,0.8696,0
05.03.2002,0.8698,0.8731,0.8648,0.8717,0
06.03.2002,0.8716,0.8782,0.8693,0.8766,0
07.03.2002,0.8766,0.8843,0.8739,0.8807,0
08.03.2002,0.881,0.8815,0.872,0.8734,0
10.03.2002,0.8737,0.875,0.8732,0.8744,0
11.03.2002,0.8742,0.8774,0.8732,0.8749,0
12.03.2002,0.8749,0.8768,0.8703,0.8752,0
13.03.2002,0.8755,0.8786,0.8724,0.8761,0
14.03.2002,0.876,0.8845,0.8755,0.8832,0
15.03.2002,0.8832,0.887,0.8807,0.883,0.89
17.03.2002,0.8812,0.8819,0.8799,0.8802,0
18.03.2002,0.8805,0.8833,0.8782,0.882,0
19.03.2002,0.8821,0.8847,0.8795,0.881,0
20.03.2002,0.8809,0.8862,0.8787,0.8845,0
21.03.2002,0.8848,0.8861,0.8805,0.8819,0
22.03.2002,0.882,0.883,0.8749,0.878,0
24.03.2002,0.8773,0.8775,0.8758,0.8763,0
25.03.2002,0.8762,0.8785,0.8752,0.8772,0
26.03.2002,0.8772,0.8798,0.8731,0.8763,0
27.03.2002,0.8763,0.8771,0.8719,0.873,0
28.03.2002,0.8731,0.8746,0.8698,0.871,0.87
29.03.2002,0.8709,0.8731,0.8704,0.8719,0
31.03.2002,0.8716,0.8729,0.8714,0.872,0
01.04.2002,0.8721,0.8824,0.8717,0.8801,0
02.04.2002,0.8796,0.8817,0.8772,0.8782,0
03.04.2002,0.8784,0.8831,0.8774,0.8802,0
04.04.2002,0.8805,0.8859,0.8764,0.8788,0
05.04.2002,0.8788,0.8818,0.8772,0.8785,0
07.04.2002,0.8791,0.8793,0.8784,0.8788,0
08.04.2002,0.8785,0.8795,0.8735,0.8744,0
09.04.2002,0.8745,0.8818,0.8733,0.881,0
10.04.2002,0.8813,0.8827,0.8786,0.8806,0
11.04.2002,0.8807,0.885,0.8788,0.8816,0
12.04.2002,0.8815,0.8829,0.8774,0.8809,0
14.04.2002,0.8797,0.8802,0.8793,0.8798,0
15.04.2002,0.8798,0.8826,0.8788,0.8796,0
16.04.2002,0.8797,0.8842,0.8789,0.8821,0
17.04.2002,0.8821,0.8913,0.8817,0.891,0
18.04.2002,0.8908,0.8922,0.8856,0.8909,0
19.04.2002,0.8906,0.8929,0.8878,0.8922,0
21.04.2002,0.8894,0.8907,0.8894,0.8899,0
22.04.2002,0.8903,0.8909,0.8867,0.8897,0
23.04.2002,0.8891,0.8906,0.8858,0.8884,0
24.04.2002,0.8884,0.8934,0.8873,0.8923,0
25.04.2002,0.8924,0.8994,0.8915,0.898,0
26.04.2002,0.8979,0.9026,0.896,0.9015,0
28.04.2002,0.9013,0.9017,0.901,0.9016,0
29.04.2002,0.9014,0.9049,0.9007,0.9033,0
30.04.2002,0.9033,0.9045,0.8988,0.9003,0
01.05.2002,0.9002,0.9089,0.899,0.9069,0
02.05.2002,0.9069,0.9083,0.901,0.9031,0
03.05.2002,0.9032,0.9178,0.9024,0.9173,0
05.05.2002,0.9164,0.9173,0.9158,0.9165,0
06.05.2002,0.9166,0.9188,0.9133,0.9182,0
07.05.2002,0.9182,0.9193,0.9114,0.9129,0.92
08.05.2002,0.9128,0.9147,0.9036,0.9046,0
09.05.2002,0.9045,0.9116,0.9037,0.9087,0
10.05.2002,0.9089,0.9153,0.9084,0.914,0
12.05.2002,0.9129,0.9136,0.9123,0.913,0
13.05.2002,0.9129,0.9171,0.9094,0.911,0
14.05.2002,0.9115,0.9117,0.901,0.9015,0
15.05.2002,0.9018,0.913,0.8994,0.9115,0.9
16.05.2002,0.9112,0.9144,0.9085,0.9119,0
17.05.2002,0.9118,0.9224,0.9112,0.9211,0
19.05.2002,0.9206,0.9214,0.9199,0.9204,0
20.05.2002,0.9205,0.9232,0.918,0.9212,0
21.05.2002,0.9213,0.9223,0.9161,0.9186,0
22.05.2002,0.9189,0.928,0.9181,0.9257,0
23.05.2002,0.9257,0.9273,0.918,0.921,0
24.05.2002,0.921,0.9233,0.9161,0.9203,0
26.05.2002,0.9205,0.9215,0.9201,0.9206,0
27.05.2002,0.9207,0.9226,0.9182,0.9207,0
28.05.2002,0.9205,0.9311,0.9198,0.9291,0
29.05.2002,0.9289,0.9372,0.9271,0.9354,0
30.05.2002,0.9355,0.9416,0.9347,0.9372,0
31.05.2002,0.9366,0.9402,0.9283,0.9337,0
02.06.2002,0.933,0.933,0.9316,0.9319,0
03.06.2002,0.932,0.9423,0.9302,0.9405,0
04.06.2002,0.9403,0.9455,0.9387,0.9399,0
05.06.2002,0.94,0.942,0.9351,0.94,0
06.06.2002,0.9399,0.9482,0.9336,0.9466,0
07.06.2002,0.9467,0.949,0.9426,0.9426,0
09.06.2002,0.9431,0.9436,0.9428,0.9434,0
10.06.2002,0.9434,0.9484,0.9387,0.9434,0
11.06.2002,0.9436,0.9497,0.9403,0.9481,0
12.06.2002,0.9482,0.9508,0.9425,0.9446,0
13.06.2002,0.9443,0.9477,0.9395,0.9428,0
14.06.2002,0.9428,0.9524,0.9413,0.9454,0
16.06.2002,0.9451,0.9455,0.9443,0.9448,0
17.06.2002,0.9449,0.9469,0.9411,0.9444,0
18.06.2002,0.9443,0.954,0.9435,0.9533,0
19.06.2002,0.9534,0.9582,0.9519,0.9568,0
20.06.2002,0.9567,0.9669,0.9556,0.9647,0
21.06.2002,0.9647,0.9722,0.963,0.9705,0
23.06.2002,0.9699,0.9711,0.9685,0.9708,0
24.06.2002,0.9709,0.9817,0.9678,0.9707,0
25.06.2002,0.9706,0.9867,0.9661,0.9848,0
26.06.2002,0.9848,0.9947,0.9786,0.9821,0
27.06.2002,0.9822,0.9916,0.9808,0.9914,0
28.06.2002,0.9911,0.9992,0.9837,0.9911,0
30.06.2002,0.9914,0.9938,0.9911,0.9924,0
01.07.2002,0.9923,0.9973,0.9861,0.9913,0
02.07.2002,0.9915,0.9918,0.9797,0.984,0
03.07.2002,0.9839,0.9851,0.9767,0.9805,0
04.07.2002,0.9804,0.982,0.9749,0.9769,0
05.07.2002,0.977,0.9776,0.9714,0.973,0
07.07.2002,0.9745,0.9757,0.9741,0.9757,0
08.07.2002,0.9757,0.9917,0.9754,0.9894,0
09.07.2002,0.9895,0.9956,0.9871,0.9914,0
10.07.2002,0.9915,0.9971,0.9858,0.989,0
11.07.2002,0.9892,0.9941,0.9832,0.9862,0
12.07.2002,0.9862,0.9926,0.985,0.9906,0
14.07.2002,0.9916,0.9941,0.9913,0.9935,0
15.07.2002,0.9932,1.0091,0.993,1.0046,0
16.07.2002,1.0046,1.015,1.0042,1.0118,0
17.07.2002,1.0119,1.0164,1.0032,1.0062,0
18.07.2002,1.0063,1.0122,1.0039,1.0106,0
19.07.2002,1.0111,1.021,1.0102,1.0117,1.02
21.07.2002,1.0112,1.0128,1.0072,1.0125,0
22.07.2002,1.0124,1.0135,1.0041,1.0047,0
23.07.2002,1.0043,1.0048,0.9844,0.9898,0
24.07.2002,0.9901,0.9983,0.9873,0.9947,0
25.07.2002,0.9947,1.0064,0.9947,1.0055,0
26.07.2002,1.0054,1.007,0.9852,0.9859,0
28.07.2002,0.9873,0.988,0.9854,0.9857,0
29.07.2002,0.9856,0.9891,0.977,0.982,0
30.07.2002,0.9818,0.9894,0.9778,0.9834,0
31.07.2002,0.9832,0.9857,0.9759,0.9779,0
01.08.2002,0.9779,0.9878,0.9726,0.9876,0
